,identificacion,name,nombre,marca,cas,categoria,sedronar,abierto,cantidad_numeros,unidad
173,E-21,Tetrabutylammonium hexafluorophosphate,Hexafluorofosfato de terbutilamonio,Aldrich,3109-63-5,electrolitos_buffers,False,True,0.1,L
174,E-21,Tetrabutylammonium hexafluorophosphate,Hexafluorofosfato de terbutilamonio,Aldrich,3109-63-5,electrolitos_buffers,False,True,0.1,L
175,E-22,Tetramethylammonium tetrafluoroborate,Tetrafluoroborato de tetrametilamonio,Fluka,661-36-9,electrolitos_buffers,False,True,0.05,L
176,E-22,Tetramethylammonium tetrafluoroborate,Tetrafluoroborato de tetrametilamonio,Fluka,661-36-9,electrolitos_buffers,False,True,0.05,L
177,E-22,Tetramethylammonium tetrafluoroborate,Tetrafluoroborato de tetrametilamonio,Aldrich,661-36-9,electrolitos_buffers,False,True,0.1,L
178,E-23,Tetramethylammonium hexafluorophosphate,Hexafluorofosfato de tetrametilamonio,Aldrich,558-32-7,electrolitos_buffers,False,True,0.025,L
179,E-24,Tetramethylammonium bromide,Bromuro de tetrametilamonio,Eastman,64-20-0,electrolitos_buffers,False,True,0.5,L
180,E-25,Tetraethylammonium perchlorate,Perclorato de tetraetilamonio,Carlo Erba,2567-83-1,electrolitos_buffers,False,True,0.025,L
181,E-25,Tetraethylammonium perchlorate,Perclorato de tetraetilamonio,Eastman,2567-83-1,electrolitos_buffers,False,True,0.1,L
182,E-26,Sodium tetraborate decahydrate,Borato de Sodio,Mallinckrodt,1303-96-4,electrolitos_buffers,False,True,0.5,L
183,E-27,Potassium perchlorate,Perclorato de Potasio,Carlo Erba,7778-74-7,electrolitos_buffers,False,True,0.25,L
184,E-27,Potassium perchlorate,Perclorato de Potasio,C&B,7778-74-7,electrolitos_buffers,False,True,0.25,L
185,E-28,Lithium nitrate,Nitrato de Litio,Fluka,7790-69-4,electrolitos_buffers,False,True,0.25,L
186,E-29,Ammonium fluoride,Fluoruro de Amonio,Anedra,,electrolitos_buffers,False,True,0.1,L
187,E-30,Potassium hexafluorophosphate,Hexafluorofosfato de Potasio,Ozark,17084-13-8,electrolitos_buffers,False,True,0.5,L
188,E-40,potassium phosphate monobasic,Fosfato monobsico de potasio,Mallinckrodt,,electrolitos_buffers,False,True,0.2,L
189,E-40,potassium phosphate monobasic,Fosfato monobsico de potasio,Merck,,electrolitos_buffers,False,True,1,L
190,E-41,Tetraethylammonium chloride,Cloruro de tetraetilamonio,BDH,56-34-8,electrolitos_buffers,False,True,0.01,L
191,Ar-1,Benzoic acid,cido Benzoico,Anedra,65-85-0,aromaticos,False,True,100,gr
192,Ar-1,Benzoic acid,cido Benzoico,Aldrich,65-85-0,aromaticos,False,True,500,gr
193,Ar-2,"""2,4-Dinitrophenol""","""2,4-Dinitrofenol""",Ratto,51-28-5,aromaticos,False,True,10,gr
194,Ar-3,Quinhydrone,Quinhidrona,Merck,106-34-3,aromaticos,False,True,100,gr
195,Ar-3,Quinhydrone,Quinhidrona,Merck,106-34-3,aromaticos,False,True,100,gr
196,Ar-4,Trifluoroacetic acid,cido Trifluoroactico,Fluka,76-05-1,aromaticos,False,True,100,mL
197,Ar-5,Methanesulfonic acid,cido Metansulfnico,Fluka,75-75-2,aromaticos,False,True,100,mL
198,Ar-6,4-Nitroaniline,4-Nitroanilina,Merck,0100-01-06,aromaticos,False,True,50,gr
199,Ar-7,4-Amino-3-hydroxy-1-naphthalenesulfonic acid,cido 1-amino-2-naftol-4-sulfnico,(Desconocido),116-63-2,aromaticos,False,True,50,gr
200,Ar-8,Hexamethylbenzene,Hexametilbenceno,Fluka,87-85-4,aromaticos,False,True,50,gr
201,Ar-9,2-Aminophenol,2-aminofenol,Fluka,95-55-6,aromaticos,False,True,25,gr
202,Ar-9,2-Aminophenol,2-aminofenol,Fluka,95-55-6,aromaticos,False,True,25,gr
203,Ar-10,o-Anisidine,O-anisidina,Fluka,90-04-0,aromaticos,False,True,250,mL
204,Ar-10,o-Anisidine,O-anisidina,Fluka,90-04-0,aromaticos,False,True,250,mL
205,Ar-11,o-Toluidine,O-Toluidina,Mallinckrodt,95-53-4,aromaticos,False,True,10,gr
206,Ar-11,o-Toluidine,O-Toluidina,Fluka,95-53-4,aromaticos,False,True,100,mL
207,Ar-11,o-Toluidine,O-Toluidina,UCB,95-53-4,aromaticos,False,True,100,mL
208,Ar-12,Phenylhydrazine hydrochl,Fenilhidracina clorhidrato,Anedra,59-88-1,aromaticos,False,True,25,gr
209,Ar-12,Phenylhydrazine hydrochl,Fenilhidracina clorhidrato,Anedra,59-88-1,aromaticos,False,True,25,gr
210,Ar-12,Phenylhydrazine hydrochl,Fenilhidracina clorhidrato,Anedra,59-88-1,aromaticos,False,True,25,gr
211,Ar-12,Phenylhydrazine hydrochl,Fenilhidracina clorhidrato,Anedra,59-88-1,aromaticos,False,True,25,gr
212,Ar-13,o-Phenylenediamine,O-fenilendiamina,ICN,95-54-5,aromaticos,False,True,50,gr
213,Ar-14,"""4,4?-Ethylenedianiline""",4-4'-diamino-bibencilo,Fluka,621-95-4,aromaticos,False,True,10,gr
214,Ar-15,Triphenylmethanol,Trifenil-metanol,Fluka,76-84-6,aromaticos,False,True,10,gr
215,Ar-16,Benzidine,Bencidina,UCB,92-87-5,aromaticos,False,True,5,gr
216,Ar-17,"""4,4?-Diaminostilbene """,4-4'-Diamino-estilbeno,Aldrich,54760-75-7,aromaticos,False,True,1,gr
217,Ar-18,2-Ethylaniline,O-etilanilina,Aldrich,578-54-1,aromaticos,False,True,5,gr
218,Ar-19,p-Toluenesulfonic acid monohydrate,cido-p-toluensulfnico,Carlo Erba,6192-52-5,aromaticos,False,True,250,gr
219,Ar-19,p-Toluenesulfonic acid monohydrate,cido-p-toluensulfnico,Carlo Erba,6192-52-5,aromaticos,False,True,500,gr
220,Ar-20,Benzyl alcohol,Alcohol Benclico,Prodalar,,aromaticos,False,True,1,L
221,Ar-21,Poly(2-Vinylpyridine),Poli(2-vinilpiridina),Polysciences,,aromaticos,False,True,10,gr
222,Ar-22,1-Naphthol,alfa-naftol,Merck,90-15-3,aromaticos,False,True,100,gr
223,Ar-23,2-Naphthol,beta-naftol,Merck,135-19-3,aromaticos,False,True,100,gr
224,Ar-24,Anthracene,Antraceno,Aldrich,0120-12-7,aromaticos,False,True,25,gr
225,Ar-25,Quinine sulfate,Sulfato de quinina,BDH,207671-44-1,aromaticos,False,True,100,gr
226,M-1,L-Cysteine,L-Cistena,Merck,52-90-4,miscelaneos,False,True,25,gr
227,M-2,Thiourea,Tiourea,Merck,62-56-6,miscelaneos,False,True,250,gr
228,M-2,Thiourea,Tiourea,Aldrich,62-56-6,miscelaneos,False,True,50,gr
229,M-3,asbestos,Amianto Sodado,Merck,nn,miscelaneos,False,True,250,gr
230,M-4,Dimethylglyoxime,Dimetil-glioxima,Merck,95-45-4,miscelaneos,False,True,100,gr
231,M-5,Silica gel,Slicagel,Cicarelli,112926-00-8,miscelaneos,False,True,1000,gr
232,M-6,Paraffin oil,Nujol,(Desconocido),8012-95-1,miscelaneos,False,True,250,mL
233,M-7,4-penten-1-ol,4-penten-1-ol,Fluka,,miscelaneos,False,True,5,ml
234,M-8,Sephadex,gel dextrano,Sephadex,,miscelaneos,False,True,100,gr
