,identificacion,name,nombre,cantidad,marca,cas,categoria,sedronar,abierto,cantidad_numeros,unidad
118,A-3,Sulfuric acid,cido sulfrico,0.6,Merck,7664-93-9,cidos,True,True,,
119,A-3,Sulfuric acid,cido sulfrico,2.5,Carlo Erba,7664-93-9,cidos,True,True,,
120,A-4,Perchloric acid,cido perclrico,1,Merck,7601-90-3,cidos,False,True,,
121,A-4,Perchloric acid,cido perclrico,0.8,Merck,7601-90-3,cidos,False,True,,
122,A-4,Perchloric acid,cido perclrico,2,Merck,7601-90-3,cidos,False,True,,
123,A-4,Perchloric acid,cido perclrico,0.8,Merck,7601-90-3,cidos,False,True,,
124,A-5,Tetrafluoroboric acid,cido fluorobrico 50%,0.9,Riedel-DeHaen,16872-11-0,cidos,False,True,,
125,S-1,1-Methyl-2-pyrrolidinone,N-metil 2 pirrolidona,0.5 L,Fluka,872-50-4,solventes,False,True,0.5,L
126,S-1,1-Methyl-2-pyrrolidinone,N-metil 2 pirrolidona,1L,Aldrich,872-50-4,solventes,False,True,1.0,L
127,S-1,1-Methyl-2-pyrrolidinone,N-metil 2 pirrolidona,1L,Anedra,872-50-4,solventes,False,True,1.0,L
128,S-2,"""Ethyl alcohol, Pure""",etanol abs,0.5 L,Anedra,64-17-5,solventes,True,True,0.5,L
129,S-3,Ammonium hydroxide solution,hidrxido de amonio,0.8 L,Cicarelli,1336-21-6,solventes,True,True,0.8,L
130,S-4,Extran MA 02 | 107553 - Merck Millipore,Extran MA 02 neutro,0.4 L,Merck,nn,solventes,False,True,0.4,L
131,E-1,Sodium hydroxide,Hidrxido de Sodio,0.7,Mallinckrodt,1310-73-2,electrolitos_buffers,True,True,,
132,E-1,Sodium hydroxide,Hidrxido de Sodio,0.7,Merck,1310-73-2,electrolitos_buffers,True,True,,
133,E-1,Sodium hydroxide,Hidrxido de Sodio,0.6,Carlo Erba,1310-73-2,electrolitos_buffers,True,True,,
134,E-1,Sodium hydroxide,Hidrxido de Sodio,0.7,Merck,1310-73-2,electrolitos_buffers,True,True,,
135,E-2,Sodium carbonate,Carbonato de Sodio,0.25,Merck,497-19-8,electrolitos_buffers,True,True,,
136,E-2,Sodium carbonate,Carbonato de Sodio,0.25,Merck,497-19-8,electrolitos_buffers,True,True,,
137,E-2,Sodium carbonate,Carbonato de Sodio,0.1,Mallinckrodt,497-19-8,electrolitos_buffers,False,True,,
138,E-3,Potassium bisulfate,Sulfato cido de Potasio,1,Carlo Erba,7646-93-7,electrolitos_buffers,False,True,,
139,E-4,Potassium sulfate,Sulfato de Potasio,0.15,Anal Chim,7778-80-5,electrolitos_buffers,False,True,,
140,E-4,Potassium sulfate,Sulfato de Potasio,0.05,Merck,7778-80-5,electrolitos_buffers,False,True,,
141,E-4,Potassium sulfate,Sulfato de Potasio,0.05,Merck,7778-80-5,electrolitos_buffers,False,True,,
142,E-4,Potassium sulfate,Sulfato de Potasio,0.1,Merck,7778-80-5,electrolitos_buffers,False,True,,
143,E-4,Potassium sulfate,Sulfato de Potasio,0.4,Baker,7778-80-5,electrolitos_buffers,False,True,,
144,E-4,Potassium sulfate,Sulfato de Potasio,0.05,Merck,7778-80-5,electrolitos_buffers,False,True,,
145,E-5,Sodium sulfate,Sulfato de Sodio,0.05,Merck,7757-82-6,electrolitos_buffers,True,True,,
